chapter,verse_num,verse_text
21,1,"The king's heart is in the hand of the LORD; he directs it like a watercourse wherever he pleases."
21,2,"All a man's ways seem right to him, but the LORD weighs the heart."
21,3,"To do what is right and just is more acceptable to the LORD than sacrifice."
21,4,"Haughty eyes and a proud heart, the lamp of the wicked, are sin!"
21,5,"The plans of the diligent lead to profit as surely as haste leads to poverty."
21,6,"A fortune made by a lying tongue is a fleeting vapor and a deadly snare."
21,7,"The violence of the wicked will drag them away, for they refuse to do what is right."
21,8,"The way of the guily is devious, but the conduct of the innocent is upright."
21,9,"Better to live on a corner of the roof than share a house with a quarrelsome wife."
21,10,"The wicked man craves evil; his neighbor gets no mercy from him."
21,11,"When a mocker is punished, the simple gain wisdom; when a wise man is instructed, he gets knowledge."
21,12,"The Righteous One takes not of the house of the wicked and brings the wicked to ruin."
21,13,"If a man shuts his ears to the cry of the poor, he too will cry out and not be answered."
21,14,"A gift given in secret soothes anger, and a bribe concealed in the cloak pacifies great wealth."
21,15,"When justice, it brings joy to the righteous but terror to evildoers."
21,16,"A man who strays from the path of understanding comes to rest in the company of the dead."
21,17,"He who loves pleasure will become poor; whoever loves wine and oil will never be rich."
21,18,"The wicked become a ransom for the righteous, and the unfaithful for the upright."
21,19,"Better to live in a desert than with a quarrelsome and ill-tempered wife."
21,20,"In the house of the wise are stores of choice food and oil, but a foolish man devours all he has."
21,21,"He who pursues righteousness and love finds life, prosperity and honor."
21,22,"A wise man attacks the city of the mighty and pulls down the stronghold in which they trust."
21,23,"He who guards his mouth and his tongue keeps himself from calamity."
21,24,"The proud and arrogant man-- 'Mocker' is his name; he behaves with overweening pride."
21,25,"The sluggard's craving will be the death of him, becase his hands refuse to work."
21,26,"All day long he craves for more, but the righteous give without sparing."
21,27,"THe sacrifice of the wicked is detestable-- how much more so when brought with evil intent!"
21,28,"A false witness will perish, and whoever listens to him will be destroyed forever."
21,29,"A wicked man puts up a bold front, but an upright man gives thought to his ways."
21,30,"There is no wisdom, no insight, no plan that can succeed against the LORD."
21,31,"The horse is made ready for the day of battle, but victory rests with the LORD."
