chapter,verse_num,verse_text
28,1,"The wicked man flees though no one pursues, but the righteous are as bold as a lion."
28,2,"When a country is rebellious, it has many rulers, but a man of understanding and knowledge maintains order."
28,3,"A ruler who oppresses the poor is like a driving rain that leaves no crops."
28,4,"Those who forsake the law praise the wicked, but those who keep the law resist them."
28,5,"Evil men do not understand justice, but those who seek the LORD understand it fully."
28,6,"Better a poor man whose walk is blameless than a rich man whose ways are perverse."
28,7,"He who keeps the law is a discerning son, but a companion of gluttons disgraces his father."
28,8,"He who increases his wealth by exorbitant interest amasses it for another, who will be kind to the poor."
28,9,"If anyone turns a deaf ear to the law, even his prayers are detestable."
28,10,"He who leads the upright along an evil path will fall into his own trap, but the blameless will receive a good inheritance."
28,11,"A rich man may be wise in his own eyes, but a poor man who has discernment sees through him."
28,12,"When the righteous triumph, there is great elation; but when the wicked rise to power, men go into hiding."
28,13,"He who conceals his sins does not prosper, but whoever confesses and renounces them finds mercy."
28,14,"Blessed is the man who always fears the LORD, but he who hardens his heart falls into trouble."
28,15,"Like a roaring lion or a charging bear is a wicked man ruling over a helpless people."
28,16,"A tyrannical ruler lacks judgment, but he who hates ill-gotten gain will enjoy a long life."
28,17,"A man tormented by the guilt of murder will be a fugitive till death; let no one support him."
28,18,"He whose walk is blameless is kept safe, but he whose ways are perverse will suddenly fall."
28,19,"He who works his land will have abundant food, but the one who chases fantasies will have his fill of poverty."
28,20,"A faithful man will be richly blessed, but one eager to get rich will not go unpunished."
28,21,"To show partiality is not good-- yet a man will do wrong for a piece of bread."
28,22,"A stingy man is eager to get rich and is unaware that poverty awaits him."
28,23,"He who rebukes a man will in the end gain more favor than he who has a flattering tongue."
28,24,"He who robs his father or mother and says, 'It's not wrong'-- he is partner to him who destroys.""
28,25,"A greedy man stirs up dissension, but he who trusts in the LORD will prosper."
28,26,"He who trusts in himself is a fool, but he who walks in wisdom is kept safe."
28,27,"He who gives to the poor will lack nothing, but he who closes his eyes to them receives many curses."
28,28,"When the wicked rise to power, people go into hiding; but when the wicked perish, the righteous thrive."
